,Min,Max,Mean,STD,1st quartile,median,3rd quartile,number_of_tickers,Sampled stocks,fraction_of_sampled_tickers,date start,number_of_days,normalize_on_s_and_p_500
17,-7.114743345038503,18.41261244636625,0.0858821458319021,1.0,-0.101431730465055,0.0303115466566476,0.280781614115961,50,50,0.1,2020-02-12 00:00:00,14,True
18,-1.86525818535491,10.451071086133677,0.6783926790958517,1.0,0.02030983093203,0.3829090507555633,1.1003055178482477,50,50,0.1,2020-10-22 00:00:00,14,False
19,-2.958227346066747,40.25572151063414,0.2319091804990617,1.0,0.0048056637051374,0.097365922653604,0.2798599918724401,50,50,0.1,2020-09-11 00:00:00,14,False
20,-4.732324284632925,28.449399798045143,0.1882323969635726,1.0,-0.0359262951052502,0.0440420982351726,0.2472513120414766,50,50,0.1,2020-02-03 00:00:00,14,False
21,-3.1700829989511474,18.116058628293214,0.1589806465332988,1.0,-0.2560633161818104,0.0300488047715358,0.4049840295711847,50,50,0.2,2020-04-14 00:00:00,14,True
22,-3.201639052497242,12.867900956033129,0.3714460664265784,1.0,-0.0391031289247273,0.1940267323150601,0.6332016653692443,50,50,0.2,2020-03-24 00:00:00,14,True
23,-8.578749929954068,23.74768881091097,0.0190708866496555,1.0,-0.090955303424021,0.0114216336968968,0.1290153992433107,50,50,0.2,2020-12-14 00:00:00,14,True
24,-5.00903769122921,18.79209989453416,0.6037439846953587,1.0,0.1505387441086006,0.5149423797383594,0.8720349296059434,50,50,0.2,2020-03-06 00:00:00,14,False
25,-1.5381720410368114,27.005740733920163,0.7949271324025022,1.0,0.303175614045082,0.6450312325307522,0.9656055340751069,50,50,0.2,2020-02-28 00:00:00,14,False
26,-7.839633781319536,28.50905266095205,0.0624873973536066,1.0,-0.0109996823132928,0.0011304563132972,0.027088817296345,50,50,0.2,2020-01-05 00:00:00,14,False
27,-14.584238602808124,32.75365752594412,0.0470865478373245,1.0,-0.0856231109176046,0.0112671170822013,0.115543102970419,100,100,0.1,2020-01-08 00:00:00,7,True
28,-14.240815069348487,44.4421445736412,0.0156074046556744,1.0,-0.1700273112926681,0.0034167276765531,0.1672912068822913,100,100,0.1,2020-06-18 00:00:00,7,True
29,-9.799282888996895,90.44252279476127,0.0303569872794507,1.0,-0.0090063893505232,0.0232871822034246,0.0776150587657165,100,100,0.1,2020-09-15 00:00:00,7,True
30,-7.908573616966478,15.69313015948106,0.3776594777423225,1.0,0.0,0.2208424011500656,0.6350059525416173,100,100,0.1,2020-10-23 00:00:00,7,False
31,-7.230433381548909,12.452171874857152,0.3721368644020941,1.0,-0.0006340825192654,0.2525876436120499,0.6992571420969225,100,100,0.1,2020-09-18 00:00:00,7,False
32,-8.03666377050346,20.54211070454436,0.6882483618666361,1.0,0.2257368861112409,0.5477796940183786,1.003953370167428,100,100,0.1,2020-03-13 00:00:00,7,False
33,-6.38746541446798,12.900711308257108,0.272220286344706,1.0,-0.1048867996854336,0.1186706479112964,0.5715694701800845,100,100,0.2,2020-03-04 00:00:00,7,True
34,-19.771003677355417,58.16561366836064,0.0211262669020864,1.0,-0.1215814868462633,0.0050606842470846,0.1304388229240982,100,100,0.2,2020-06-22 00:00:00,7,True
35,-31.657638693143014,40.0923774811076,0.0056367486087852,1.0,-0.0692159821345165,0.0096769545577771,0.0776729527317889,100,100,0.2,2020-11-15 00:00:00,7,True
